GVKEYIID,GVKEY,IID,dsci,isin,sedol,ibtic,exchg,exchgdesc,conm,busdesc,loc,prirow,ggroup,gind,gsector,gsubind,ggroupdesc,ginddesc,gsectordesc
10214402W,102144,02W,ORD NPV,HK0411006957,6003672,@LMS,170,Hong Kong Exchanges and Clearing Ltd,LAM SOON (HONG KONG) LTD,"Lam Soon (Hong Kong) Limited, an investment holding company, engages in the manufacture, trading, and processing of edible oil, flour products, and home care products in Hong Kong, the People's Republic of China, and Macau. The company operates through two segments, Food and Home Care. Its Food segment manufactures and sells a range of food products comprising flour, edible oils, and specialty fats for the hotels and restaurants, as well as catering and food manufacturing industries; and trades in, and distributes health products. The company's Home Care segment manufactures and distributes industrial and household cleaning products, such as liquid dish-washing detergents, laundry powder, liquid laundry detergents, fabric softeners, floor cleaners, and industrial marble cleaners. It markets its products under the Golden Statue, American Roses, Royal Sakura, Golden Double Peach, Knife, Red Lantern, Soon, AXE, Labour, and Procleanic brands. The company is also involved in the trading of flour, edible oils, and agency products; provision of trucks rental, warehousing and logistics, information technology, and trustee services; and property and trademark holding businesses. In addition, it provides silo facilities. The company was founded in 1961 and is headquartered in Tai Po, Hong Kong. Lam Soon (Hong Kong) Limited is a subsidiary of Guoline International Limited.",HKG,02W,3020,302020,30,30202030,Food Beverage & Tobacco,Food Products,Consumer Staples
10216001W,102160,01W,ORD NPV,HK0037039283,6331395,@FEH,170,Hong Kong Exchanges and Clearing Ltd,FAR EAST HOTELS & ENTERNMT,"Far East Hotels and Entertainment Limited, an investment holding company, engages in the hotel operation, property investment and letting, and securities investment and trading business in Hong Kong, Mainland China, and internationally. It operates and manages the Cheung Chau Warwick Hotel in Cheung Chau, Hong Kong. The company was incorporated in 1978 and is based in Wan Chai, Hong Kong.",HKG,01W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10252802W,102528,02W,ORD HKD.3,BMG275871231,6266851,@DC,170,Hong Kong Exchanges and Clearing Ltd,DICKSON CONCEPTS (INTL) LTD,"Dickson Concepts (International) Limited, an investment holding company, engages in the sale of luxury goods. It operates in two segments, Sale of Luxury Goods and Securities Investment. The company sells fashion and accessories, watches and jewelry, cosmetics and beauty products, lighters, writing instruments, leather goods, and luxury tableware. It also provides interior design, management consultancy and professional, services and operation of warehouses, trademarks agency, and import services. In addition, the company engages in the securities and property investment activities; arrangement of property tenancy agreements; and operation of Harvey Nichols, beauty avenues, and beauty bazaar stores. As of March 31, 2021, it operated 64 stores comprising 7 stores in Hong Kong, 32 stores in China, and 25 stores in Taiwan. The company was founded in 1980 and is headquartered in Tsim Sha Tsui East, Hong Kong. Dickson Concepts (International) Limited is a subsidiary of Dickson Investment Holding (PTC) Corporation.",HKG,02W,2550,255040,25,25504010,Retailing,Specialty Retail,Consumer Discretionary
10255001W,102550,01W,ORD HKD.05,BMG5150J1577,BP4JH17,@JOE,170,Hong Kong Exchanges and Clearing Ltd,JOHNSON ELECTRIC HOLDINGS,"Johnson Electric Holdings Limited, an investment holding company, researches and develops, manufactures, markets, licenses, and sells motion products, control systems, and flexible interconnects worldwide.",HKG,01W,2510,251010,25,25101010,Automobiles & Components,Auto Components,Consumer Discretionary
10255502W,102555,02W,ORD HKD.5,BMG4069C1486,6387406,@GEA,170,Hong Kong Exchanges and Clearing Ltd,GREAT EAGLE HOLDINGS LTD,"Great Eagle Holdings Limited, an investment holding company, invests in, develops, and manages residential, office, retail, and hotel properties in Asia, North America, Australasia, and Europe. It operates through Hotel Operation, Property Investment, Property Development, Other Operations, Champion REIT, Langham, and US Real Estate Fund segments. The company engages in leasing furnished apartments; and workspace, asset management, hotel accommodation, food and banquet, and restaurant operations. It also owns and operates a portfolio of hotels under The Langham, Langham Place, and Cordis brand names. In addition, the company offers property management services, including facilities management, security services, cleanliness and hygiene, financial management, staff training, green and risk management, maintenance and repairs, building survey, car park management, consultancy, and club house management services, as well as property maintenance and agency services. Further, it sells building materials; invests in securities; offers real estate investment trust, project, treasury, investment, and investment fund management services, as well as procurement and financing services; and issues medium term notes. Great Eagle Holdings Limited was founded in 1963 and is headquartered in Wanchai, Hong Kong.",HKG,02W,6010,601020,60,60102010,,,
10255602W,102556,02W,ORD NPV,HK0097000571,6972341,@WTA,170,Hong Kong Exchanges and Clearing Ltd,HENDERSON INVESTMENT LTD,"Henderson Investment Limited, an investment holding company, engages in the operation of department stores in Hong Kong. It operates six department stores under the Citistore name; and three department stores cum supermarkets under the APITA and UNY names. The company was incorporated in 1972 and is based in Central, Hong Kong. Henderson Investment Limited is a subsidiary of Henderson Land Development Company Limited.",HKG,02W,2550,255030,25,25503010,Retailing,Multiline Retail,Consumer Discretionary
10313101W,103131,01W,ORD HKD.1,BMG8659B1054,6869852,@TCH,170,Hong Kong Exchanges and Clearing Ltd,TAI CHEUNG HOLDINGS LTD,"Tai Cheung Holdings Limited, an investment holding company, engages in property investment, development, and management activities in Hong Kong. The company's property portfolio includes residential, industrial, and office/commercial buildings.",HKG,01W,6010,601020,60,60102010,,,
10328301W,103283,01W,ORD NPV,HK0050000345,6435833,@HKM,170,Hong Kong Exchanges and Clearing Ltd,HONG KONG FERRY (HLDGS) CO,"Hong Kong Ferry (Holdings) Company Limited, an investment holding company, primarily engages in the property development and investment business in Hong Kong. The company operates in four segments: Property Development; Property Investment; Ferry, Shipyard and Related Operations; and Securities Investment. It develops and sells residential units, commercial arcades, and car parking spaces; invests in and leases real estate properties; and offers property management services. The company also provides dangerous goods vehicular ferry, and ship repair and maintenance services, as well as sells goods on cruise vessels. In addition, it invests in debt and equity securities; provides property finance; and engages in the trading and floating restaurant business. The company was formerly known as The Hongkong and Yaumati Ferry Company Limited and changed its name to Hong Kong Ferry (Holdings) Company Limited in 1989. Hong Kong Ferry (Holdings) Company Limited was founded in 1923 and is based in Tsing Yi, Hong Kong.",HKG,01W,6010,601020,60,60102010,,,
10328702W,103287,02W,ORD NPV,HK0242001243,6806633,@SHF,170,Hong Kong Exchanges and Clearing Ltd,SHUN TAK HOLDINGS LTD,"Shun Tak Holdings Limited, an investment holding company, engages in property, transportation, hospitality, and investment businesses in Hong Kong, Macau, Mainland China, and internationally. It develops and sells property; markets and leases retail, office, and residential properties; offers property management services for residential and commercial properties; and provides property cleaning, laundry, maintenance and repair, project works, hygiene care, pest control, waste management, legal advice, and financial management services. The company also offers passenger sea and land travel services across destinations within the Pearl River Delta connecting cities, such as Hong Kong, Shenzhen, Macau, Zhuhai, and Shekou under the TurboJET brand name. In addition, it operates hotels and golf clubs, entertainment attractions, and travel consultancies, as well as offers travel and MICE facilities; invests in gaming concessionaires; and operates toy stores under the Toys""R""Us name. Additionally, the company provides financing; hospitality management and auxiliary; and travel agency services. The company was founded in 1972 and is based in Central, Hong Kong.",HKG,02W,2010,201050,20,20105010,Capital Goods,Industrial Conglomerates,Industrials
10335901W,103359,01W,ORD HKD.1,BMG9074C1082,6904515,@TR8,170,Hong Kong Exchanges and Clearing Ltd,TRISTATE HOLDINGS LTD,"Tristate Holdings Limited, an investment holding company, designs, manufactures, and trades in garments in the People's Republic of China, Canada, the United States, Italy, the United Kingdom, and internationally. It offers garments under the C.P. Company, Cissonne, Nautica, and Spyder brand names. The company also engages in the branded product distribution, retail, and trading. In addition, it offers sales liaison, general administrative and supporting, factory facilities leasing, nominee and secretarial, technical, and design and customer support services. Further, the company is involved in trademark holding and licensing, retail store operation, and trading of apparel and accessories, as well as general trading and marketing, and product design and development activities. It also exports its products. The company was founded in 1937 and is headquartered in Kwai Chung, Hong Kong. Tristate Holdings Limited is a subsidiary of Silver Tree Holdings Inc.",HKG,01W,2520,252030,25,25203010,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
10336101W,103361,01W,ORD NPV,HK0518001976,6907343,@TGX,170,Hong Kong Exchanges and Clearing Ltd,TUNGTEX (HLDGS) CO LTD,"Tungtex (Holdings) Company Limited, an investment holding company, manufactures, sells, retails, and trades in garments in North America, Asia, Europe, and internationally. The company manufactures and exports ladies sportswear, casual wear, and suit pieces; and various women career and casual sportswear for department stores, chain stores, specialty stores, catalogs, and designer labels, as well as silk-blended, linen, cotton, and synthetic apparel products. As of March 31, 2021, it operated 177 Betu-brand stores in Mainland China. The company was founded in 1977 and is based in Kwun Tong, Hong Kong.",HKG,01W,2520,252030,25,25203010,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
10337001W,103370,01W,ORD HKD.01 (POST RECON),BMG2111R1705,B986Z29,@HK3,170,Hong Kong Exchanges and Clearing Ltd,CHINA SOLAR ENERGY HOLDINGS,"China Solar Energy Holdings Limited, an investment holding company, engages in the development, manufacture, and sale of solar cells, modules, and panels for the generation of solar electric power primarily in the Peoples' Republic of China and the United States. It operates through three segments: Photovoltaic Business, Strategic Investments, and Organic Hog and Livestock Business. The company is also involved in producing and selling amorphous silicon thin film solar photovoltaic modules and related accessories; investing in, constructing, and operating power plants for solar power; participating in primary and secondary securities market; and licensing patent rights. In addition, it is involved in cultivation of horticultural crops, vegetables, fruits, and trees; livestock husbandry; aquatic farming; photovoltaic agricultural greenhouse and photovoltaic power generation business; and farming and sale of organic hog and livestock. China Solar Energy Holdings Limited is based in Quarry Bay, Hong Kong.",HKG,01W,4530,453010,45,45301020,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology
10337201W,103372,01W,ORD HKD.5,BMG9716V1000,6910073,@US2,170,Hong Kong Exchanges and Clearing Ltd,WING TAI PROPERTIES LTD,"Wing Tai Properties Limited, an investment holding company, invests in, develops, and manages properties in Hong Kong, the United Kingdom, the People's Republic of China, Singapore, and internationally. The company operates through Property Development, Property Investment and Management, Hospitality Investment and Management, and Others divisions. It develops and manages residential and commercial properties. The company's investment properties include office buildings, industrial buildings, car parking spaces, retail spaces, and serviced apartments. It is also involved in the hospitality management, investment, licensing, treasury investment, financing, and property agency activities. The company was formerly known as USI Holdings Limited and changed its name to Wing Tai Properties Limited in 2010. Wing Tai Properties Limited is headquartered in Kwun Tong, Hong Kong.",HKG,01W,6010,601020,60,60102010,,,
10337501W,103375,01W,ORD NPV,HK0229001182,6726269,@RAY,170,Hong Kong Exchanges and Clearing Ltd,RAYMOND INDUSTRIAL LTD,"Raymond Industrial Limited, together with its subsidiaries, designs, manufactures, and sells electrical home appliances in Japan, the United States, the People's Republic of China, Europe, rest of Asia, Australia, Canada, South America, Africa, and internationally. It offers environmental products, batteries, health and personal care products, and kitchen products, as well as other small and medium sized electrical household appliances. The company was incorporated in 1964 and is headquartered in Sha Tin, Hong Kong.",HKG,01W,2520,252010,25,25201040,Consumer Durables & Apparel,Household Durables,Consumer Discretionary
10337701W,103377,01W,ORD NPV,HK0040000298,6375735,@GOP,170,Hong Kong Exchanges and Clearing Ltd,GOLD PEAK INDUS (HOLDGS) LTD,"Gold Peak Industries (Holdings) Limited, an investment holding company, develops, manufactures, markets, and trades in batteries, electronics and acoustics products, and automotive wire harness. The company operates through three segments: Electronics, Batteries, and Other Investments. It also develops, manufactures, and distributes battery related products; markets and trades in audio products, parts and components, and hygienic and health care products; and manufactures transformers and switching mode power supplies. In addition, the company is involved in the retail of acoustic and electronic products; holding of trademarks and intellectual properties; and provision of logistic support services. It has operations in the People's Republic of China, as well as in other Asia-Pacific, the Middle East, European, and American countries. The company was founded in 1964 and is based in Tai Po, Hong Kong.",HKG,01W,4520,452030,45,45203015,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Information Technology
10337801W,103378,01W,ORD HKD.02,KYG4642G1038,BYQM6Z4,@60I,170,Hong Kong Exchanges and Clearing Ltd,HUAYI TENCENT ENTERTAINMENT,"Huayi Tencent Entertainment Company Limited, a media company, engages in the entertainment and media business in the People's Republic of China, Hong Kong, and internationally. It operates through two segments, Entertainment and Media Businesses; and Healthcare and Wellness Services. The company produces films, animations, and TV dramas, as well as invests in international entertainment companies. It is also involved in the licensing of films and TV dramas; advertising agency activities; and the provision of health and wellness services through operation of wellness center. In addition, the company engages in the hotel management business. The company was formerly known as China Jiuhao Health Industry Corporation Limited and changed its name to Huayi Tencent Entertainment Company Limited in May 2016. Huayi Tencent Entertainment Company Limited was incorporated in 2002 and is based in Hong Kong, Hong Kong.",HKG,01W,2530,253010,25,25301030,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10338001W,103380,01W,ORD NPV,HK0375001663,6985855,@YGT,170,Hong Kong Exchanges and Clearing Ltd,YGM TRADING LTD,"YGM Trading Limited, an investment holding company, engages in the wholesale and retail of garments and accessories in Hong Kong, Taiwan, Mainland China, the United Kingdom, and internationally. It operates through four segments: Sales of Garments; Licensing of Trademarks; Printing and Related Services; and Property Rental. The company offers various men's and ladies' wear products, such as shirts, blouses, trousers and casual pants, blousons, polo shirts, T-shirts, etc.; bags; golf and ski wears; perfume, watches, eyewear, leather goods, and home fashion products; and suits and casual wears. It is also involved in managing and licensing trademarks; investment and leasing of properties; provision of security and general business printing services; trading of printing products; and development of authentication and electronic forgery detection solutions. The company offers its products primarily under the Ashworth, Black Clover, Guy Laroche, Harmont & Blaine, Michel Rene, Save My Bag, and J.Lindeberg brands. It serves customers through a distribution network of 81 points of sales in Hong Kong, Macau, Mainland China, and Taiwan. The company was founded in 1949 and is based in San Po Kong, Hong Kong.",HKG,01W,2520,252030,25,25203010,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
10338301W,103383,01W,ORD NPV,HK0420001817,6349053,@FTS,170,Hong Kong Exchanges and Clearing Ltd,FOUNTAIN SET (HOLDINGS) LTD,"Fountain Set (Holdings) Limited, an investment holding company, produces and sells knitted fabrics and garments in Hong Kong, the People's Republic of China, Taiwan, Korea, Sri Lanka, the United States, Europe, and internationally. It is involved in fabric knitting, dyeing, printing, finishing, and garment manufacturing activities. The company also offers dyed fabrics and yarns. In addition, it engages in trading dyed fabrics and yarns, dyestuffs, and chemicals, as well as garments; and the heating supply activities. The company was founded in 1969 and is headquartered in Kwai Chung, Hong Kong.",HKG,01W,2520,252030,25,25203030,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
10339101W,103391,01W,ORD HKD.2,BMG0532V2009,BF2SHQ1,@A,170,Hong Kong Exchanges and Clearing Ltd,ASIA COMMERCIAL HOLDINGS LTD,"Asia Commercial Holdings Limited, an investment holding company, engages in the retail and wholesale of watches in the People's Republic of China and Switzerland. The company operates in two segments, Sale of Watches and Properties Leasing. It is also involved in the assembly and marketing of gold and jewelry watches; property holding, investment, and leasing activities; and brand development business. The company operates 7 stores. Asia Commercial Holdings Limited is based in Wan Chai, Hong Kong.",HKG,01W,2550,255040,25,25504040,Retailing,Specialty Retail,Consumer Discretionary
10339601W,103396,01W,ORD HKD.1,BMG1744V1037,6160953,@CCC,170,Hong Kong Exchanges and Clearing Ltd,CAFE DE CORAL HLDGS LTD,"Cafe de Coral Holdings Limited, an investment holding company, operates quick service restaurants, and casual dining chains in Hong Kong and Mainland China. It operates restaurants primarily under the Cafe de Coral, Super Super Congee & Noodles, Shanghai Lao Lao, Mixian Sense, The Spaghetti House, Oliver's Super Sandwiches, 360 Series, Little Onion, THE CUP, Don Don Tei, and ZAKKA brands. As of March 31, 2021, the company operated 473 operating units. It also provides institutional catering services under the Asia Pacific Catering and Luncheon Star brands for universities, hospitals, government, and public and private institutions; and produces, distributes, and sells ham, sausage, and bacon products under the Viking Boat brand name. In addition, the company is involved in property investment, premises space and property leasing, and food trading and processing activities; and provision of royalty and franchise services. Cafe de Coral Holdings Limited was incorporated in 1968 and is headquartered in Shatin, Hong Kong.",HKG,01W,2530,253010,25,25301040,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10340901W,103409,01W,ORD NPV,HK0669013440,B0190C7,@TTN,170,Hong Kong Exchanges and Clearing Ltd,TECHTRONIC INDUSTRIES CO LTD,"Techtronic Industries Company Limited engages in the design, manufacture, and marketing of power tools, outdoor power equipment, and floorcare and cleaning products worldwide.",HKG,01W,2010,201060,20,20106020,Capital Goods,Machinery,Industrials
10341101W,103411,01W,ORD NPV,HK0216001088,6191191,@CH5,170,Hong Kong Exchanges and Clearing Ltd,CHINNEY INVESTMENTS LTD,"Chinney Investments, Limited, an investment holding company, primarily engages in the property development and investment activities in Hong Kong and Mainland China. It operates through three segments: Property Development; Property Investment; and Property, Carpark Management and Others. The company is also involved in sub-leasing business, as well as offers management services to residential and commercial properties. It also offers property holding and letting, project management, carpark management, nominee, financing, and money lending services. The company was incorporated in 1959 and is based in Central, Hong Kong. Chinney Investments, Limited is a subsidiary of Chinney Holdings Limited.",HKG,01W,6010,601020,60,60102030,,,
10342301W,103423,01W,ORD NPV,HK0000063476,6986591,@YIC,170,Hong Kong Exchanges and Clearing Ltd,DOYEN INTERNATIONAL HOLDINGS,"Doyen International Holdings Limited, an investment holding company, provides loan financing services in the People's Republic of China. The company operates through Investment Property Holding, Dongkui Business, Sales of Flowers and Plants, and Distressed Assets Management segments. It is also involved in the investment and rental of properties. The company owns Dong Dong Mall, a shopping arcade with a total gross floor area of 18,043.45 square meters located in Chongqing. In addition, it provides management and distressed asset management services; and sells flowers, seedlings, and plants. The company was formerly known as Dowell Property Holdings Limited and changed its name to in Doyen International Holdings Limited in June 2016. Doyen International Holdings Limited was incorporated in 1990 and is based in Wanchai, Hong Kong. Doyen International Holdings Limited is a subsidiary of Money Success Limited.",HKG,01W,4020,402010,40,40201040,Diversified Financials,Diversified Financial Services,Financials
10344001W,103440,01W,ORD NPV,HK0083000502,6810429,@SNA,170,Hong Kong Exchanges and Clearing Ltd,SINO LAND CO LTD,"Sino Land Company Limited, an investment holding company, invests in, develops, manages, and trades in properties. It operates through six segments: Property Sales, Property Rental, Property Management and Other Services, Hotel Operations, Investments in Securities, and Financing. The company's property portfolio includes office, industrial, and residential buildings, as well as shopping malls, car parks, and hotels. It also provides cleaning, building construction and management, financing, administration, security, mortgage loan financing, secretarial, management, project management, securities investment, living, consultancy, and deposit placing services, as well as operates hotels. As of June 30, 2021, the company had a land bank of approximately 20.8 million square feet of attributable floor area in Mainland China, Hong Kong, Singapore, and Sydney. The company was incorporated in 1971 and is based in Tsim Sha Tsui, Hong Kong. Sino Land Company Limited is a subsidiary of Tsim Sha Tsui Properties Limited.",HKG,01W,6010,601020,60,60102030,,,
10346401W,103464,01W,ORD USD.01,BMG4410A1062,6420572,@HRD,170,Hong Kong Exchanges and Clearing Ltd,HERALD HOLDINGS LTD,"Herald Holdings Limited, together with its subsidiries, manufactures, sells, and distributes toys, computer products, housewares, clocks, watches, and electronic and gift products. The company offers a range of toys, including action figures, electronic radio-controlled toy cars and boats, electronic games, and pre-school toys; battery-operated and electronic toys, radio-controlled vehicles, transformers, and model kits and gift items. It also provides computer products, including magnetic tape heads for computer storage drives, thin-film magnetic recording heads, and motor actuator assemblies, as well as smart connected devices for Internet of Things comprising smart watches, thermostats, sensory array gateways and remote environmental sensors; and manufactures and sells watches under the Braun, Vivienne Westwood, and Lambretta brands. In addition, the company is involved in the property investment and leasing activities; provision of marketing services; and debt and equity securities, and managed funds investment activities, as well as sells and distributes clocks, watches, and electronic products. Herald Holdings Limited operates in Hong Kong, North America, the United Kingdom, rest of Europe, rest of Asia, Mainland China, and internationally. Herald Holdings Limited was incorporated in 1992 and is headquartered in Hong Kong, Hong Kong.",HKG,01W,2520,252020,25,25202010,Consumer Durables & Apparel,Leisure Products,Consumer Discretionary
10374501W,103745,01W,ORD HKD.1,BMG4079W1001,BYWBRD0,@XX,170,Hong Kong Exchanges and Clearing Ltd,GREAT WALL PAN ASIA HOLDINGS,"Great Wall Pan Asia Holdings Limited, an investment holding company, engages in the property investment business in Hong Kong and internationally. The company operates through two segments, Property Investment and Financial Services.",HKG,01W,6010,601020,60,60102020,,,
10390501W,103905,01W,ORD HKD.1,BMG987731079,6692070,@PMT,170,Hong Kong Exchanges and Clearing Ltd,YT REALTY GROUP LTD,"Y. T. Realty Group Limited, an investment holding company, engages in the property investment, development, and trading activities in the United Kingdom, Hong Kong, and Mainland China. The company operates through four segments: Property Investment, Property Development and Trading, Treasury Management, and Property Management and Related Services. It is involved in the rental of residential and commercial properties. The company also offers property management and related technical consultancy services; property rental services; and corporate management services. In addition, it invests in debt securities and time deposits. The company was formerly known as Prestige Properties Holdings Limited and changed its name to Y. T. Realty Group Limited in June 2002. Y. T. Realty Group Limited is headquartered in Wanchai, Hong Kong.",HKG,01W,6010,601020,60,60102020,,,
10393201W,103932,01W,ORD HKD.25,KYG4520J1040,6159672,@HKU,170,Hong Kong Exchanges and Clearing Ltd,HKR INTERNATIONAL LTD,"HKR International Limited, an investment holding company, invests in, develops, and manages real estate properties in Hong Kong, Macau, Mainland China, Japan, and South East Asia. It operates through five segments: Property Development, Property Investment, Services Provided, Hotel Operations, and Healthcare. The company primarily develops and manages residential, commercial, and industrial properties, as well as leisure projects. It also owns, operates, and manages hotels; and a healthcare service network, including chronic disease management, Chinese medicine centers, dental clinics, medical diagnostic centers, and medical network services. In addition, the company offers transportation services in Discovery Bay, including ferry, land transport, and tunnel operations; operates clubs; and invests in securities. Further, the company provides cancer treatment and diagnostic imaging, commercial leasing agency, property agency, bus and garage, dental health and care, and project management services; corporate consultancy services to healthcare operating units; and financial services to first hand purchasers of properties in Discovery Bay, as well as trades in medical and dental equipment and supplies. Additionally, it engages in the operation of a shipyard, ice rink, and road tunnel; and diabetes and endocrine disorders clinics, as well as acts as an estate manager and principal lessee of communication network in Discovery Bay. HKR International Limited was founded in 1977 and is based in Central, Hong Kong.",HKG,01W,6010,601020,60,60102010,,,
10393501W,103935,01W,ORD HKD.25,BMG4516H1795,BD5F7F4,@KGK,170,Hong Kong Exchanges and Clearing Ltd,HKC (HOLDINGS) LTD,"HKC (Holdings) Limited, together with its subsidiaries, engages in the property development and investment, and renewable energy investment and operation businesses in the People's Republic of China. It operates through Properties Development, Property Investment and Leasing, Renewable Energy, and Other Operations segments. The company develops and builds residential properties, including townhouses, high-rise apartments, and commercial shops; and invests in shopping malls and offices, as well as properties for restaurants and retails. It also holds properties; develops and operates building materials center; owns and operates wind power and distributed solar projects; and provides property management services. The company was incorporated in 2006 and is headquartered in Tsim Sha Tsui, Hong Kong. HKC (Holdings) Limited is a subsidiary of Claudio Holdings Limited.",HKG,01W,6010,601020,60,60102030,,,
10393601W,103936,01W,ORD HKD.1,KYG0535Q1331,6002453,@AP1,170,Hong Kong Exchanges and Clearing Ltd,ASM PACIFIC TECHNOLOGY LTD,"ASM Pacific Technology Limited, an investment holding company, engages in the design, manufacture, and marketing of machines, tools, and materials used in the semiconductor and electronics assembly industries worldwide. It operates through Semiconductor Solutions and Surface Mount Technology Solutions segments. The company provides deposition process equipment, wafer separation equipment, AOI/FOL equipment, die attach equipment, wire bonding equipment, dispensing equipment, encapsulation solutions equipment, and CIS equipment. It also offers singulation, trim, and form systems; LED testing, sorting, and taping systems; sintering equipment; and test and finish handling systems. In addition, it offers surface mount technologies; advanced packaging solutions; encapsulation solutions; MEM solutions; power solutions; LED/opto solutions; photonics, display, and COB solutions; stacked die solutions; and smart SMT factory solutions. Further, the company provides agency and logistics services. ASM Pacific Technology Limited was founded in 1975 and is based in Tsing Yi, Hong Kong.",HKG,01W,4530,453010,45,45301010,Semiconductors & Semiconductor Equipment,Semiconductors & Semiconductor Equipment,Information Technology
10394802W,103948,02W,ORD HKD.1,BMG687662301,6665306,@PAL,170,Hong Kong Exchanges and Clearing Ltd,PALIBURG HOLDINGS LTD,"Paliburg Holdings Limited, through its subsidiaries, engages in the property investment and development, construction and building, and hotel related businesses in Hong Kong, Mainland China, and internationally. The company's Property Development and Investment segment develops, sells, and leases properties; and provides estate agency services. Its Construction and Building Related Businesses segment engages in the construction works and building related businesses, including the provision of development consultancy and project management services, and property management services. This segment also develops and distributes security systems and products, and other software. The company's Hotel Operation and Management and Hotel Ownership segment owns, operates, and rents hotels; and provides hotel management services. Its Asset Management segment provides asset management services to Regal REIT. The company's Financial Assets Investments segment trades in financial assets at fair value through profit or loss; and other financial assets investments. Its Aircraft Ownership and Leasing segment owns, leases, and rents aircraft. The company's Others segment provides financing services, sells food products, operates and manages restaurants, operates security storage lounge, offers housekeeping and related services, and develops and distributes multimedia entertainment and digital educational content and multi-platform social games. It also offers securities investment, management, financing, nominee, lighting technology, mechanical and electrical engineering, contracting agency, and trademark holding services. The company was incorporated in 1993 and is headquartered in Causeway Bay, Hong Kong. Paliburg Holdings Limited is a subsidiary of Century City International Holdings Limited.",HKG,02W,2530,253010,25,25301020,Consumer Services,"Hotels, Restaurants & Leisure",Consumer Discretionary
10396001W,103960,01W,ORD HKD.25,BMG2113M1203,6193681,@CH3,170,Hong Kong Exchanges and Clearing Ltd,CHOW SANG SANG HOLDINGS LTD,"Chow Sang Sang Holdings International Limited, an investment holding company, manufactures and retails jewellery. The company operates through four segments: Retail of Jewellery and Watches, Wholesale of Precious Metals, Securities and Futures Broking, and Other Businesses. It produces and sells jewellery products; distributes watches; and operates retail stores in Hong Kong, Macau, Mainland China, and Taiwan. The company also trades in precious metals for wholesale customers; and offers brokering and dealing services for securities and futures. In addition, it is involved in the sale of corporate gift products; provision of marketing and nominee services; and property investment activities, as well as diamond polishing and trading activities. The company also sells its products online. Chow Sang Sang Holdings International Limited was founded in 1934 and is based in Kowloon, Hong Kong.",HKG,01W,2520,252030,25,25203010,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goods",Consumer Discretionary
10397501W,103975,01W,ORD HKD.1,BMG9738G1078,BC7GXQ1,@WON,170,Hong Kong Exchanges and Clearing Ltd,WONG'S INTL HOLDINGS LTD,"Wong's International Holdings Limited, together with its subsidiaries, develops, manufactures, markets, and distributes electronic products in Hong Kong, rest of Asia, North America, and Europe. It operates in two divisions, Electronic Manufacturing Service (EMS), and Property Holding. The company manufactures and distributes electronic products for EMS customers; and offers electronic manufacturing, testing, value-added engineering, hardware, software or mechanical design, product design, supply management, logistics management, and after-sales services for products in industrial and power, office electronics, network and peripheral, and consumer and digital categories. It also invests in, develops, sells, and leases properties; provides sales and marketing services; and trades in electronic products. Wong's International Holdings Limited was founded in 1962 and is headquartered in Kwun Tong, Hong Kong.",HKG,01W,4520,452030,45,45203020,Technology Hardware & Equipment,"Electronic Equipment, Instruments & Components",Information Technology
10402702W,104027,02W,ORD USD.01,BMG715071343,6693512,@CK1,170,Hong Kong Exchanges and Clearing Ltd,CP POKPHAND CO LTD,"C.P. Pokphand Co. Ltd., an investment holding company, manufactures and sells animal feed products in Mainland China, Vietnam, and internationally. It operates through three segments: China Agri-Food, Vietnam Agri-Food, and Investment and Property Holding.",HKG,02W,3020,302020,30,30202010,Food Beverage & Tobacco,Food Products,Consumer Staples
10417501W,104175,01W,ORD HKD2,BMG970561087,6972244,@WNG,170,Hong Kong Exchanges and Clearing Ltd,WING ON CO INTL LTD,"Wing On Company International Limited operates department stores in the Hong Kong, People's Republic of China, Australia, and the United States. The company operates in two segments, Department Stores and Property Investment. Its department stores offer electrical appliances, kitchen and dining, bedding and bath, grocery, toys, children and infants, men's wear, women's' wear, active, shoes and handbags, personal care, and cosmetics products. The company also leases commercial premises in Hong Kong, Australia, and the United States. In addition, it offers securities trading, property management, and computer services; owns trademarks; and acts as a trustee for investment trusts. It also sells its products online. The company was founded in 1907 and is based in Central, Hong Kong. Wing On Company International Limited is a subsidiary of Wing On International Holdings Limited.",HKG,01W,2550,255030,25,25503010,Retailing,Multiline Retail,Consumer Discretionary
